#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
#Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Sequence;Off
#CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
#Start Time;00:43:54
#Stop Time;00:44:23
#Actual Count; 29911      
U1[V];I1[A];Timestamp
4.188;0.0740;00:43:54:499
4.188;0.0070;00:43:54:500
4.196;0.0870;00:43:54:501
4.188;0.0020;00:43:54:502
4.204;0.0740;00:43:54:503
4.196;0.0970;00:43:54:504
4.196;0.0750;00:43:54:505
4.212;0.0030;00:43:54:506
4.196;0.0740;00:43:54:507
4.196;0.0750;00:43:54:508
4.188;0.0740;00:43:54:509
4.244;0.0060;00:43:54:510
4.180;0.0710;00:43:54:511
4.188;0.0740;00:43:54:512
4.196;0.0740;00:43:54:513
4.196;0.0970;00:43:54:514
4.204;0.0020;00:43:54:515
4.196;0.0740;00:43:54:516
4.172;0.0210;00:43:54:517
4.196;0.0750;00:43:54:518
4.188;0.0030;00:43:54:519
4.204;0.0740;00:43:54:520
4.180;0.0730;00:43:54:521
4.196;0.0750;00:43:54:522
4.228;0.0040;00:43:54:523
4.180;0.0730;00:43:54:524
4.212;0.0700;00:43:54:525
4.188;0.0740;00:43:54:526
4.188;0.0070;00:43:54:527
4.212;0.0700;00:43:54:528
4.188;0.0020;00:43:54:529
4.204;0.0740;00:43:54:530
4.196;0.0970;00:43:54:531
4.196;0.0020;00:43:54:532
4.220;0.0030;00:43:54:533
4.188;0.0740;00:43:54:534
4.196;0.0750;00:43:54:535
4.204;0.0030;00:43:54:536
4.244;0.0050;00:43:54:537
4.180;0.0710;00:43:54:538
4.188;0.0740;00:43:54:539
4.220;0.0050;00:43:54:540
4.196;0.0970;00:43:54:541
4.204;0.0410;00:43:54:542
4.196;0.0750;00:43:54:543
4.180;0.0520;00:43:54:544
4.196;0.0750;00:43:54:545
4.196;0.0410;00:43:54:546
4.204;0.0750;00:43:54:547
4.196;0.0750;00:43:54:548
4.196;0.0750;00:43:54:549
4.220;0.0410;00:43:54:550
4.188;0.0740;00:43:54:551
4.196;0.0750;00:43:54:552
4.196;0.0750;00:43:54:553
4.188;0.0440;00:43:54:554
4.204;0.0730;00:43:54:555
4.196;0.0750;00:43:54:556
4.204;0.0740;00:43:54:557
4.196;0.0970;00:43:54:558
4.188;0.0410;00:43:54:559
4.196;0.0750;00:43:54:560
4.196;0.0740;00:43:54:561
4.196;0.0750;00:43:54:562
4.204;0.0410;00:43:54:563
4.196;0.0740;00:43:54:564
4.196;0.0740;00:43:54:565
4.196;0.0750;00:43:54:566
4.212;0.0420;00:43:54:567
4.196;0.0740;00:43:54:568
4.196;0.0410;00:43:54:569
4.196;0.0750;00:43:54:570
4.180;0.0590;00:43:54:571
4.196;0.0700;00:43:54:572
4.196;0.0410;00:43:54:573
4.204;0.0750;00:43:54:574
4.196;0.0750;00:43:54:575
4.196;0.0410;00:43:54:576
4.204;0.0410;00:43:54:577
4.188;0.0740;00:43:54:578
4.196;0.0750;00:43:54:579
4.220;0.0410;00:43:54:580
4.188;0.0440;00:43:54:581
4.204;0.0730;00:43:54:582
4.196;0.0750;00:43:54:583
4.188;0.0440;00:43:54:584
4.196;0.0730;00:43:54:585
4.188;0.0410;00:43:54:586
4.204;0.0750;00:43:54:587
4.196;0.0970;00:43:54:588
4.196;0.0410;00:43:54:589
4.204;0.0410;00:43:54:590
4.196;0.0740;00:43:54:591
4.196;0.0750;00:43:54:592
4.204;0.0410;00:43:54:593
4.212;0.0430;00:43:54:594
4.196;0.0740;00:43:54:595
4.196;0.0750;00:43:54:596
4.204;0.0420;00:43:54:597
4.188;0.0970;00:43:54:598
4.196;0.0510;00:43:54:599
4.196;0.0750;00:43:54:600
4.180;0.0470;00:43:54:601
4.196;0.0750;00:43:54:602
4.196;0.0390;00:43:54:603
4.204;0.0750;00:43:54:604
4.196;0.0750;00:43:54:605
4.196;0.0750;00:43:54:606
4.220;0.0400;00:43:54:607
4.188;0.0740;00:43:54:608
4.196;0.0750;00:43:54:609
4.196;0.0750;00:43:54:610
4.188;0.0410;00:43:54:611
4.204;0.0730;00:43:54:612
4.196;0.0750;00:43:54:613
4.204;0.0750;00:43:54:614
4.196;0.0970;00:43:54:615
4.196;0.0390;00:43:54:616
4.196;0.0750;00:43:54:617
4.196;0.0740;00:43:54:618
4.196;0.0750;00:43:54:619
4.204;0.0390;00:43:54:620
4.196;0.0740;00:43:54:621
4.188;0.0740;00:43:54:622
4.196;0.0750;00:43:54:623
4.212;0.0410;00:43:54:624
4.196;0.0740;00:43:54:625
4.196;0.0390;00:43:54:626
4.196;0.0750;00:43:54:627
4.180;0.0610;00:43:54:628
4.196;0.0680;00:43:54:629
4.196;0.0390;00:43:54:630
4.204;0.0740;00:43:54:631
4.196;0.0750;00:43:54:632
4.188;0.0390;00:43:54:633
4.220;0.0400;00:43:54:634
4.188;0.0740;00:43:54:635
4.196;0.0750;00:43:54:636
4.220;0.0400;00:43:54:637
4.188;0.0420;00:43:54:638
4.204;0.0730;00:43:54:639
4.196;0.0750;00:43:54:640
4.196;0.0410;00:43:54:641
4.196;0.0970;00:43:54:642
4.196;0.0390;00:43:54:643
4.204;0.0750;00:43:54:644
4.196;0.0970;00:43:54:645
4.196;0.0750;00:43:54:646
4.204;0.0390;00:43:54:647
4.196;0.0740;00:43:54:648
4.196;0.0750;00:43:54:649
4.196;0.0750;00:43:54:650
4.212;0.0410;00:43:54:651
4.196;0.0740;00:43:54:652
4.196;0.0750;00:43:54:653
4.204;0.0750;00:43:54:654
4.180;0.0770;00:43:54:655
4.196;0.0670;00:43:54:656
4.196;0.0750;00:43:54:657
4.180;0.0740;00:43:54:658
4.196;0.0750;00:43:54:659
4.196;0.0390;00:43:54:660
4.204;0.0740;00:43:54:661
4.196;0.0730;00:43:54:662
4.196;0.0750;00:43:54:663
4.236;0.0030;00:43:54:664
4.180;0.0740;00:43:54:665
4.196;0.0700;00:43:54:666
4.188;0.0740;00:43:54:667
4.188;0.0070;00:43:54:668
4.204;0.0700;00:43:54:669
4.188;0.0020;00:43:54:670
4.204;0.0740;00:43:54:671
4.196;0.0970;00:43:54:672
4.196;0.0020;00:43:54:673
4.204;0.0740;00:43:54:674
4.196;0.0740;00:43:54:675
4.196;0.0750;00:43:54:676
4.204;0.0030;00:43:54:677
4.196;0.0740;00:43:54:678
4.180;0.0710;00:43:54:679
4.188;0.0750;00:43:54:680
4.220;0.0050;00:43:54:681
4.196;0.0720;00:43:54:682
4.204;0.0030;00:43:54:683
4.196;0.0740;00:43:54:684
4.172;0.0190;00:43:54:685
4.204;0.0670;00:43:54:686
4.188;0.0030;00:43:54:687
4.204;0.0740;00:43:54:688
4.196;0.0750;00:43:54:689
4.188;0.0020;00:43:54:690
4.228;0.0040;00:43:54:691
4.180;0.0730;00:43:54:692
4.196;0.0750;00:43:54:693
4.236;0.0030;00:43:54:694
4.188;0.0070;00:43:54:695
4.212;0.0700;00:43:54:696
4.188;0.0740;00:43:54:697
4.220;0.0070;00:43:54:698
4.196;0.0970;00:43:54:699
4.196;0.0020;00:43:54:700
4.204;0.0740;00:43:54:701
4.196;0.0970;00:43:54:702
4.196;0.0750;00:43:54:703
4.204;0.0030;00:43:54:704
4.196;0.0740;00:43:54:705
4.196;0.0750;00:43:54:706
4.188;0.0740;00:43:54:707
4.228;0.0050;00:43:54:708
4.188;0.0720;00:43:54:709
4.188;0.0750;00:43:54:710
4.196;0.0740;00:43:54:711
4.180;0.0640;00:43:54:712
4.204;0.0570;00:43:54:713
4.196;0.0740;00:43:54:714
4.204;0.0740;00:43:54:715
4.196;0.0750;00:43:54:716
4.188;0.0020;00:43:54:717
4.204;0.0740;00:43:54:718
4.180;0.0730;00:43:54:719
4.196;0.0750;00:43:54:720
4.236;0.0040;00:43:54:721
4.188;0.0740;00:43:54:722
4.204;0.0730;00:43:54:723
4.196;0.0750;00:43:54:724
4.188;0.0440;00:43:54:725
4.196;0.0730;00:43:54:726
4.188;0.0410;00:43:54:727
4.204;0.0740;00:43:54:728
4.196;0.0970;00:43:54:729
4.196;0.0410;00:43:54:730
4.204;0.0410;00:43:54:731
4.196;0.0740;00:43:54:732
4.196;0.0750;00:43:54:733
4.196;0.0410;00:43:54:734
4.196;0.0430;00:43:54:735
